genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group,type
Slc45a3,77.92085260016508,20.981712843950753,2.833455254392879,7.404991771591071,1.3115860143198077e-13,8.312176365751782e-12,5,Significant
Stx11,83.67193613877274,21.339848700883817,2.5787995307560925,8.27510957962175,1.2833753843376842e-16,1.5309913408451903e-14,5,Significant
Prdm4,81.46668607046266,20.812365343273964,2.4410839570662155,8.5258703548595,1.5166505768905525e-17,2.196976692810029e-15,5,Significant
Nlrp3,37.817624920613774,21.95926212237161,2.1882980395071088,10.034858929598869,1.0711240396963089e-23,5.4305988812602865e-21,5,Significant
Pik3r5,117.3565228050164,21.808410198464486,2.645178397948909,8.244589557881952,1.6572809315675797e-16,1.8672031828994732e-14,5,Significant
Wfdc21,113.61985354607968,21.9474256810955,3.0105877417793923,7.290080065271105,3.0977087838137536e-13,1.847692180463027e-11,5,Significant
2610307P16Rik,4594.919986170895,-10.64582227072036,1.0831802500823102,-9.828301679163179,8.504074620855737e-23,3.449252666219087e-20,5,Significant
Zfp65,6.908810996477126,-24.262578372829736,3.256999390633433,-7.449365339952078,9.379031577535984e-14,6.135701948142896e-12,5,Significant
Tent4a,53.084778200150126,20.20444809422889,2.286052710736112,8.838137458222926,9.732748626187724e-19,1.9738014213908705e-16,5,Significant
Mtrf1,129.4738886724494,20.675061943773002,2.3536377141463865,8.784300922570575,1.5733996498587393e-18,2.900776809012294e-16,5,Significant
Ctnnd2,5.380736019011354,-19.46027167217467,2.028289266155773,-9.594426197924827,8.438532041373126e-22,2.8522238299841165e-19,5,Significant
Cd86,176.80768277011663,-27.642523689482516,2.9546480878865875,-9.35560610510972,8.31217538757688e-21,2.4081559551437018e-18,5,Significant
Xdh,86.21576898229377,23.024737398330032,2.5635307918062114,8.98165041431286,2.667351537735185e-19,6.761736148158694e-17,5,Significant
Trem1,102.3173426451508,24.738418130436127,2.952476336808774,8.378870923373766,5.343783795447537e-17,6.773245960729753e-15,5,Significant
Galm,87.21458424068982,21.969265994557762,2.947825624903461,7.45270202177486,9.144767121809293e-14,6.135701948142896e-12,5,Significant
Dclre1a,134.95475747208354,19.029319601638253,2.3759173506149485,8.00925149888441,1.1540868266777835e-15,1.0638582202284296e-13,5,Significant
Vps37c,133.86998933271278,19.626256642766,2.496789088435514,7.860598531798212,3.823022573995284e-15,3.370908600027146e-13,5,Significant
Lcmt2,107.05462351221824,21.604912350739795,2.087952108843803,10.347417576882762,4.299258730779669e-25,4.359448353010585e-22,5,Significant
Fam102a,156.02995167808598,-25.283560895594547,2.5152492218244076,-10.052109618487588,8.992146200147341e-24,5.4305988812602865e-21,5,Significant
Mapkbp1,11.835711562732731,-17.887154463616394,2.313017317781154,-7.733255746124415,1.0483040092408732e-14,8.503842122961964e-13,5,Significant
I830077J02Rik,105.56164390603189,20.364634447719663,2.6304302020126373,7.741940627102724,9.79107127077469e-15,8.273455223804612e-13,5,Significant
